disease,text
Delirium,"['""INR(PT)""', '""PTT""', '""PT""', '""Fibrinogen, Functional""', '""Myelocytes""', '""Absolute Eosinophil Count""', '""Eosinophils""', '""Absolute Lymphocyte Count""', '""Absolute Neutrophil Count""', '""Absolute Monocyte Count""', '""Platelet Smear""', '""Atypical Lymphocytes""', '""Lymphocytes""', '""Absolute Basophil Count""', '""Neutrophils""', '""Bands""', '""Monocytes""', '""Basophils""', '""Metamyelocytes""', '""Poikilocytosis""', '""Hypochromia""', '""Microcytes""', '""Macrocytes""', '""Polychromasia""', '""Anisocytosis""', '""Alkaline Phosphatase""', '""Glucose""', '""Potassium""', '""Uric Acid""', '""I""', '""Calcium, Total""', '""Alanine Aminotransferase (ALT)""', '""Anion Gap""', '""Lactate Dehydrogenase (LD)""', '""Creatinine""', '""Chloride""', '""Urea Nitrogen""', '""L""', '""H""', '""Sodium""', '""Magnesium""', '""Asparate Aminotransferase (AST)""', '""Phosphate""', '""Bicarbonate""', '""Bilirubin, Total""', '""RDW-SD""', '""RDW""', '""MCV""', '""Red Blood Cells""', '""White Blood Cells""', '""MCH""', '""Hemoglobin""', '""MCHC""', '""Platelet Count""', '""Hematocrit""', '""Other Cells""', '""Ovalocytes""', '""Sodium, Whole Blood""', '""Spherocytes""', '""Teardrop Cells""', '""Schistocytes""', '""Length of Urine Collection""', '""RBC""', '""pH""', '""WBC""', '""Bacteria""', '""Protein""', '""Blood""', '""Yeast""', '""Urine Appearance""', '""Ketone""', '""Epithelial Cells""', '""Bilirubin""', '""Nitrite""', '""Specific Gravity""', '""Hyaline Casts""', '""Leukocytes""', '""Urine Color""', '""Amorphous Crystals""', '""Urobilinogen""', '""Osmolality, Urine""', '""Urea Nitrogen, Urine""', '""Creatinine, Urine""', '""Potassium, Urine""', '""Sodium, Urine""', '""Albumin""', '""Echinocytes""', '""Estimated GFR (MDRD equation)""', '""Acetaminophen""', '""STX3""', '""Benzodiazepine Screen""', '""STX4""', '""Osmolality, Measured""', '""Thyroxine (T4), Free""', '""Thyroid Stimulating Hormone""', '""Heparin""', '""Heparin, LMW""', '""G6PD, Qualitative""', '""Reticulocyte Count, Absolute""', '""Reticulocyte Count, Automated""', '""Potassium, Whole Blood""', '""Red Top Hold""', '""Cortisol""', '""UTX9""', '""Opiate Screen, Urine""', '""Amphetamine Screen, Urine""', '""UTX4""', '""UTX5""', '""Marijuana""', '""UTX2""', '""Benzodiazepine Screen, Urine""', '""UTX3""', '""UTX1""', '""Cocaine, Urine""', '""Barbiturate Screen, Urine""', '""Phosphate, Urine""', '""Immature Granulocytes""', '""Basophilic Stippling""', '""Lipase""', '""Amylase""', '""RBC Morphology""', '""Lactate""', '""Folate""', '""25-OH Vitamin D""', '""Vitamin B12""', '""Blue Top Hold""', '""Green Top Hold (plasma)""', '""Troponin T""', '""Uhold""', '""Blood, Occult""', '""XUCU""', '""Urine Mucous""', '""Transitional Epithelial Cells""', '""UCU2""', '""Creatine Kinase (CK)""', '""Light Green Top Hold""', '""Digoxin""', '""WBC Clumps""', '""Vancomycin""', '""Specimen Type""', '""Free Calcium""', '""Oxygen Saturation""', '""Base Excess""', '""pO2""', '""Calculated Total CO2""', '""pCO2""', '""EDTA Hold""', '""C-Reactive Protein""', '""Creatine Kinase, MB Isoenzyme""', '""Iron""', '""Ferritin""', '""Transferrin""', '""Iron Binding Capacity, Total""', '""Urine tube, held""', '""HCG, Urine, Qualitative""', '""Tidal Volume""', '""Ventilator""', '""Ventilation Rate""', '""Temperature""', '""PEEP""', '""Intubated""', '""Oxygen""', '""Required O2""', '""Alveolar-arterial Gradient""', '""Oxycodone""', '""Methadone, Urine""', '""Thyroxine (T4)""']"
Dementia,"['""Calcium, Total""', '""Chloride""', '""Urea Nitrogen""', '""Creatinine""', '""Glucose""', '""Sodium""', '""Anion Gap""', '""Magnesium""', '""Phosphate""', '""Potassium""', '""Bicarbonate""', '""White Blood Cells""', '""Red Blood Cells""', '""Hematocrit""', '""MCH""', '""Platelet Count""', '""Hemoglobin""', '""MCV""', '""RDW""', '""MCHC""', '""Creatine Kinase, MB Isoenzyme""', '""Creatine Kinase (CK)""', '""Troponin T""', '""Specimen Type""', '""Lactate""', '""Urine Appearance""', '""Protein""', '""Blood""', '""Specific Gravity""', '""Yeast""', '""Nitrite""', '""Urine Color""', '""Bilirubin""', '""WBC""', '""Bacteria""', '""Ketone""', '""RBC""', '""Urobilinogen""', '""Leukocytes""', '""Hyaline Casts""', '""Epithelial Cells""', '""pH""', '""Urine Mucous""', '""PT""', '""INR(PT)""', '""PTT""', '""Light Green Top Hold""', '""Alanine Aminotransferase (ALT)""', '""Asparate Aminotransferase (AST)""', '""Albumin""', '""Estimated GFR (MDRD equation)""', '""Bilirubin, Total""', '""Alkaline Phosphatase""', '""Neutrophils""', '""Basophils""', '""Eosinophils""', '""Monocytes""', '""Lymphocytes""', '""Folate""', '""Vitamin B12""', '""NTproBNP""', '""Triglycerides""', '""Thyroid Stimulating Hormone""', '""Iron""', '""Ferritin""', '""Amylase""', '""Lipase""', '""Length of Urine Collection""', '""Osmolality, Urine""', '""Sodium, Urine""', '""Chloride, Urine""', '""Creatinine, Urine""', '""Urea Nitrogen, Urine""', '""Potassium, Urine""', '""Urine tube, held""', '""Double Stranded DNA""', '""Thyroid Peroxidase Antibodies""', '""Thyroglobulin""', '""Anti-Thyroglobulin Antibodies""', '""Hypochromia""', '""Metamyelocytes""', '""Atypical Lymphocytes""', '""Poikilocytosis""', '""Absolute Neutrophil Count""', '""Polychromasia""', '""Absolute Monocyte Count""', '""Platelet Smear""', '""Macrocytes""', '""Microcytes""', '""Anisocytosis""', '""Bands""', '""Absolute Basophil Count""', '""Absolute Lymphocyte Count""', '""Myelocytes""', '""Absolute Eosinophil Count""', '""RDW-SD""', '""C-Reactive Protein""', '""Phosphate, Urine""', '""HIV Screen""', '""Lactate Dehydrogenase (LD)""', '""Fibrinogen, Functional""']"
Diabetes mellitus,"['""PTT""', '""PT""', '""INR(PT)""', '""Vancomycin""', '""Urea Nitrogen""', '""Potassium""', '""Phosphate""', '""Calcium, Total""', '""Glucose""', '""Anion Gap""', '""Bicarbonate""', '""Magnesium""', '""Sodium""', '""Chloride""', '""Creatinine""', '""Platelet Count""', '""MCH""', '""Red Blood Cells""', '""MCV""', '""RDW""', '""White Blood Cells""', '""Hematocrit""', '""Hemoglobin""', '""MCHC""', '""Lactate""', '""Blue Top Hold""', '""Light Green Top Hold""', '""Eosinophils""', '""Basophils""', '""Monocytes""', '""Neutrophils""', '""Lymphocytes""', '""Estimated GFR (MDRD equation)""', '""C-Reactive Protein""', '""Sedimentation Rate""']"
Dizziness,"['""Bicarbonate""', '""Calcium, Total""', '""Phosphate""', '""Sodium""', '""Chloride""', '""Magnesium""', '""Anion Gap""', '""Glucose""', '""Urea Nitrogen""', '""Potassium""', '""Creatinine""', '""Hematocrit""', '""RDW""', '""MCV""', '""MCHC""', '""White Blood Cells""', '""Hemoglobin""', '""Red Blood Cells""', '""MCH""', '""Platelet Count""', '""PT""', '""INR(PT)""', '""PTT""', '""Fibrinogen, Functional""', '""Creatine Kinase (CK)""', '""Troponin T""', '""Creatine Kinase, MB Isoenzyme""', '""Thyroxine (T4)""', '""Alkaline Phosphatase""', '""Bilirubin, Total""', '""Asparate Aminotransferase (AST)""', '""Alanine Aminotransferase (ALT)""']"
Dizziness,"['""Red Top Hold""', '""Thyroid Stimulating Hormone""', '""White Blood Cells""', '""RDW-SD""', '""MCH""', '""Red Blood Cells""', '""Platelet Count""', '""MCHC""', '""MCV""', '""RDW""', '""Hematocrit""', '""Hemoglobin""', '""Calcium, Total""', '""Sodium""', '""L""', '""Magnesium""', '""Phosphate""', '""H""', '""Urea Nitrogen""', '""Anion Gap""', '""Potassium""', '""Glucose""', '""I""', '""Creatinine""', '""Bicarbonate""', '""Chloride""', '""% Hemoglobin A1c""', '""eAG""', '""Triglycerides""', '""Cholesterol, HDL""', '""Cholesterol, Total""', '""Cholesterol Ratio (Total/HDL)""', '""Cholesterol, LDL, Calculated""']"
Edema,"['""Creatinine""', '""Anion Gap""', '""Potassium""', '""Sodium""', '""Urea Nitrogen""', '""Glucose""', '""Chloride""', '""Bicarbonate""', '""Magnesium""', '""Phosphate""', '""Calcium, Total""', '""Double Stranded DNA""', '""Asparate Aminotransferase (AST)""', '""Alkaline Phosphatase""', '""Alanine Aminotransferase (ALT)""', '""Bilirubin, Total""', '""Thyroid Peroxidase Antibodies""', '""Thyroglobulin""', '""Anti-Thyroglobulin Antibodies""', '""Hypochromia""', '""Metamyelocytes""', '""Basophils""', '""Atypical Lymphocytes""', '""Poikilocytosis""', '""Absolute Neutrophil Count""', '""Polychromasia""', '""Lymphocytes""', '""Absolute Monocyte Count""', '""Platelet Smear""', '""Monocytes""', '""Macrocytes""', '""Neutrophils""', '""Microcytes""', '""Anisocytosis""', '""Bands""', '""Absolute Basophil Count""', '""Eosinophils""', '""Absolute Lymphocyte Count""', '""Myelocytes""', '""Absolute Eosinophil Count""', '""Ferritin""', '""Hemoglobin""', '""Platelet Count""', '""White Blood Cells""', '""RDW-SD""', '""Hematocrit""', '""MCH""', '""MCHC""', '""Red Blood Cells""', '""MCV""', '""RDW""', '""Urine Color""', '""Bilirubin""', '""RBC""', '""Blood""', '""Urine Appearance""', '""Epithelial Cells""', '""Protein""', '""Nitrite""', '""Specific Gravity""', '""pH""', '""WBC""', '""Urobilinogen""', '""Yeast""', '""Bacteria""', '""Urine Mucous""', '""Leukocytes""', '""Ketone""', '""C-Reactive Protein""', '""Length of Urine Collection""', '""Osmolality, Urine""', '""Hyaline Casts""', '""Potassium, Urine""', '""Creatinine, Urine""', '""Sodium, Urine""', '""Phosphate, Urine""', '""Urea Nitrogen, Urine""', '""Chloride, Urine""', '""HIV Screen""', '""Lactate Dehydrogenase (LD)""', '""Fibrinogen, Functional""', '""INR(PT)""', '""PTT""', '""PT""', '""Estimated GFR (MDRD equation)""', '""Albumin""', '""Vancomycin""', '""PEEP""', '""Ventilation Rate""', '""Specimen Type""', '""Intubated""', '""Temperature""', '""Oxygen""', '""Tidal Volume""', '""Assist/Control""', '""Base Excess""', '""pCO2""', '""Calculated Total CO2""', '""pO2""', '""Lactate""', '""Alveolar-arterial Gradient""', '""Free Calcium""', '""Required O2""', '""Ventilator""', '""Oxygen Saturation""', '""Potassium, Whole Blood""', '""Amorphous Crystals""', '""Transitional Epithelial Cells""', '""Ovalocytes""', '""Echinocytes""', '""Creatine Kinase (CK)""', '""Troponin T""', '""Creatine Kinase, MB Isoenzyme""', '""Hepatitis B Surface Antigen""', '""Tobramycin""', '""Hepatitis C Virus Antibody""', '""Hepatitis B Surface Antibody""', '""Teardrop Cells""', '""Triglycerides""']"
Edema,"['""RDW-SD""', '""Hematocrit""', '""White Blood Cells""', '""Platelet Count""', '""MCHC""', '""Red Blood Cells""', '""RDW""', '""Hemoglobin""', '""MCV""', '""MCH""', '""Vancomycin""', '""L""', '""H""', '""I""', '""Sodium""', '""Chloride""', '""Calcium, Total""', '""Anion Gap""', '""Glucose""', '""Bicarbonate""', '""Phosphate""', '""Urea Nitrogen""', '""Creatinine""', '""Magnesium""', '""PTT""', '""PT""', '""INR(PT)""', '""Potassium""', '""Potassium, Whole Blood""', '""Urine Mucous""', '""pH""', '""Epithelial Cells""', '""Ketone""', '""Specific Gravity""', '""Urine Color""', '""Bacteria""', '""Blood""', '""Urobilinogen""', '""Protein""', '""Leukocytes""', '""Nitrite""', '""Urine Appearance""', '""WBC""', '""RBC""', '""Bilirubin""', '""Yeast""', '""Absolute Monocyte Count""', '""Neutrophils""', '""Absolute Eosinophil Count""', '""Absolute Neutrophil Count""', '""Monocytes""', '""Basophils""', '""Eosinophils""', '""Immature Granulocytes""', '""Absolute Basophil Count""', '""Absolute Lymphocyte Count""', '""Lymphocytes""', '""Hepatitis B Surface Antibody""', '""HPE3""', '""Hepatitis B Surface Antigen""', '""HPE2""', '""Hepatitis B Virus Core Antibody""', '""HPE1""', '""Bilirubin, Total""', '""Albumin""', '""Asparate Aminotransferase (AST)""', '""Alkaline Phosphatase""', '""Lactate Dehydrogenase (LD)""', '""Alanine Aminotransferase (ALT)""', '""C-Reactive Protein""']"
Edema,"['""Potassium""', '""Albumin""', '""Glucose""', '""Alkaline Phosphatase""', '""Phosphate""', '""Urea Nitrogen""', '""Lactate Dehydrogenase (LD)""', '""Asparate Aminotransferase (AST)""', '""Magnesium""', '""Bilirubin, Total""', '""Chloride""', '""Anion Gap""', '""I""', '""H""', '""L""', '""Creatinine""', '""Bicarbonate""', '""Sodium""', '""Calcium, Total""', '""Alanine Aminotransferase (ALT)""', '""PT""', '""INR(PT)""', '""Eosinophils""', '""Absolute Monocyte Count""', '""Polychromasia""', '""Absolute Basophil Count""', '""Absolute Neutrophil Count""', '""Spherocytes""', '""Anisocytosis""', '""Absolute Eosinophil Count""', '""Teardrop Cells""', '""Ovalocytes""', '""Lymphocytes""', '""Acanthocytes""', '""Monocytes""', '""Other Cells""', '""Absolute Lymphocyte Count""', '""Poikilocytosis""', '""Hypochromia""', '""Basophils""', '""Microcytes""', '""RBC Morphology""', '""Platelet Smear""', '""Neutrophils""', '""Platelet Count""', '""White Blood Cells""', '""RDW""', '""Hematocrit""', '""Red Blood Cells""', '""MCH""', '""RDW-SD""', '""Hemoglobin""', '""MCHC""', '""MCV""', '""Uhold""', '""Length of Urine Collection""', '""Specific Gravity""', '""Nitrite""', '""Urobilinogen""', '""Ketone""', '""Urine Color""', '""Blood""', '""pH""', '""Bilirubin""', '""Leukocytes""', '""Urine Appearance""', '""Protein""', '""Estimated GFR (MDRD equation)""', '""PTT""', '""Lactate""', '""pCO2""', '""Calculated Total CO2""', '""Specimen Type""', '""pO2""', '""Base Excess""', '""Potassium, Whole Blood""', '""Sodium, Whole Blood""', '""Red Top Hold""', '""Troponin T""', '""Creatine Kinase, MB Isoenzyme""']"
Escherichia coli,"['""Bicarbonate""', '""Magnesium""', '""Phosphate""', '""Chloride""', '""Anion Gap""', '""Potassium""', '""Sodium""', '""Creatinine""', '""Glucose""', '""Urea Nitrogen""', '""RDW""', '""Red Blood Cells""', '""MCV""', '""MCH""', '""Platelet Count""', '""Hemoglobin""', '""Hematocrit""', '""White Blood Cells""', '""MCHC""', '""Specimen Type""', '""Lactate""', '""Calculated Total CO2""', '""Base Excess""', '""pCO2""', '""pH""', '""pO2""', '""Free Calcium""', '""Calcium, Total""', '""Alanine Aminotransferase (ALT)""', '""Asparate Aminotransferase (AST)""', '""Alkaline Phosphatase""', '""Bilirubin, Total""', '""Eosinophils""', '""Lymphocytes""', '""Monocytes""', '""Basophils""', '""Neutrophils""', '""Salicylate""', '""Albumin""', '""Blood Parasite Smear""', '""INR(PT)""', '""PTT""', '""PT""', '""Leukocytes""', '""Protein""', '""Blood""', '""Yeast""', '""Granular Casts""', '""Specific Gravity""', '""Urobilinogen""', '""Epithelial Cells""', '""Urine Appearance""', '""Ketone""', '""Bilirubin""', '""Urine Mucous""', '""Nitrite""', '""Bacteria""', '""Urine Color""', '""WBC""', '""RBC""', '""Hyaline Casts""', '""Microcytes""', '""Polychromasia""', '""Anisocytosis""', '""Macrocytes""', '""Poikilocytosis""', '""Hypochromia""', '""Red Top Hold""', '""EDTA Hold""', '""Blue Top Hold""', '""Lactate Dehydrogenase (LD)""', '""Estimated GFR (MDRD equation)""', '""Amorphous Crystals""', '""Creatine Kinase (CK)""', '""CK-MB Index""', '""Creatine Kinase, MB Isoenzyme""', '""Troponin T""', '""% Hemoglobin A1c""', '""eAG""', '""CA-125""', '""Alpha-Fetoprotein""', '""Carcinoembyronic Antigen (CEA)""', '""Parathyroid Hormone""', '""Fibrin Degradation Products""', '""Fibrinogen, Functional""', '""Ferritin""', '""Iron""', '""Iron Binding Capacity, Total""', '""Haptoglobin""', '""Transferrin""', '""Lambda""', '""Kappa""', '""CD5""', '""CD45""', '""Immunophenotyping""', '""CD10""', '""CD19""', '""CD20""', '""Reticulocyte Count, Automated""', '""Inpatient Hematology/Oncology Smear""', '""Vancomycin""', '""Temperature""', '""Calculated Bicarbonate, Whole Blood""', '""Chloride, Whole Blood""', '""Oxygen Saturation""', '""Potassium, Whole Blood""', '""Sodium, Whole Blood""', '""Urine tube, held""', '""Length of Urine Collection""', '""Total Protein, Urine""', '""Prot. Electrophoresis, Urine""', '""Ovalocytes""', '""Fragmented Cells""', '""Protein, Total""', '""Immunoglobulin G""', '""Immunoglobulin M""', '""Immunoglobulin A""', '""Immunofixation""', '""Protein Electrophoresis""', '""Bilirubin, Direct""', '""Bilirubin, Indirect""', '""Teardrop Cells""', '""Schistocytes""', '""Elliptocytes""', '""Uhold""', '""WBC Clumps""', '""Osmolality, Urine""', '""Creatinine, Urine""', '""Potassium, Urine""', '""Sodium, Urine""', '""Chloride, Urine""', '""Urea Nitrogen, Urine""']"
Escherichia coli,"['""Length of Urine Collection""', '""Creatinine, Urine""', '""Urine Mucous""', '""Specific Gravity""', '""Bilirubin""', '""Epithelial Cells""', '""Urine Appearance""', '""Ketone""', '""Urine Color""', '""Nitrite""', '""Bacteria""', '""pH""', '""Protein""', '""Glucose""', '""Urobilinogen""', '""Leukocytes""', '""Yeast""', '""WBC""', '""RBC""', '""Blood""', '""Chloride""', '""Sodium""', '""Potassium""', '""Bicarbonate""', '""Anion Gap""', '""RDW""', '""MCH""', '""MCHC""', '""MCV""', '""White Blood Cells""', '""Platelet Count""', '""Hemoglobin""', '""Hematocrit""', '""RDW-SD""', '""Red Blood Cells""', '""Calcium, Total""', '""Urea Nitrogen""', '""Magnesium""', '""Phosphate""', '""Creatinine""', '""Total Nucleated Cells, Ascites""', '""Albumin, Ascites""', '""Glucose, Ascites""', '""Lactate Dehydrogenase, Ascites""', '""Total Protein, Ascites""', '""Atypical Lymphocytes""', '""Polys""', '""Lymphocytes""', '""Monocytes""', '""Macrophage""', '""Hematocrit, Ascites""', '""Alanine Aminotransferase (ALT)""', '""Asparate Aminotransferase (AST)""', '""Bilirubin, Total""', '""Alkaline Phosphatase""', '""INR(PT)""', '""PT""', '""Red Top Hold""', '""Mesothelial Cell""', '""Tobramycin""', '""PTT""', '""RBC, Ascites""', '""Bilirubin, Direct""', '""Bilirubin, Indirect""', '""Parathyroid Hormone""', '""Specimen Type""', '""pO2""', '""Calculated Total CO2""', '""pCO2""', '""Base Excess""', '""Free Calcium""', '""Lactate""', '""Estimated GFR (MDRD equation)""', '""Vancomycin""', '""Fibrinogen, Functional""', '""Bands""', '""Absolute Lymphocyte Count""', '""Neutrophils""', '""Absolute Monocyte Count""', '""Myelocytes""', '""Absolute Eosinophil Count""', '""Absolute Neutrophil Count""', '""Basophils""', '""Absolute Basophil Count""', '""Metamyelocytes""', '""Eosinophils""', '""Platelet Smear""', '""Echinocytes""', '""Ovalocytes""', '""Polychromasia""', '""Anisocytosis""', '""Hypochromia""', '""Poikilocytosis""', '""Microcytes""', '""Schistocytes""', '""Acanthocytes""', '""Macrocytes""', '""Troponin T""', '""Creatine Kinase, MB Isoenzyme""', '""Oxygen""', '""PEEP""', '""Ventilator""', '""Intubated""', '""Temperature""', '""Tidal Volume""', '""Ventilation Rate""', '""Assist/Control""', '""Other""', '""Lipase""', '""Triglycerides""', '""Hematocrit, Calculated""', '""Chloride, Whole Blood""', '""Potassium, Whole Blood""', '""Sodium, Whole Blood""', '""Hepatitis C Virus Antibody""', '""Hepatitis B Virus Core Antibody""', '""Hepatitis B Surface Antigen""', '""Hepatitis B Surface Antibody""', '""Haptoglobin""', '""Lactate Dehydrogenase (LD)""', '""Albumin""', '""D-Dimer""', '""Required O2""', '""Alveolar-arterial Gradient""', '""Target Cells""', '""Teardrop Cells""', '""Nucleated Red Cells""', '""Immature Granulocytes""', '""Monos""', '""Other Cell""', '""25-OH Vitamin D""', '""HIV Screen""', '""ARCH-1""', '""Amylase, Ascites""', '""Potassium, Urine""', '""Urea Nitrogen, Urine""', '""Chloride, Urine""', '""Sodium, Urine""', '""Osmolality, Urine""', '""Thyroxine (T4)""', '""Thyroid Stimulating Hormone""', '""Protein Electrophoresis""', '""Immunofixation""', '""Protein, Total""', '""Immunoglobulin M""', '""Immunoglobulin G""', '""Immunoglobulin A""', '""Prot. Electrophoresis, Urine""', '""Total Protein, Urine""', '""Hyaline Casts""', '""Creatine Kinase (CK)""', '""Blue Top Hold""', '""Oxygen Saturation""']"
Escherichia coli,"['""Chloride""', '""Sodium""', '""Urea Nitrogen""', '""Phosphate""', '""Anion Gap""', '""Calcium, Total""', '""Magnesium""', '""Glucose""', '""Creatinine""', '""Potassium""', '""Bicarbonate""', '""Hemoglobin""', '""RDW""', '""MCHC""', '""Hematocrit""', '""Platelet Count""', '""MCV""', '""Red Blood Cells""', '""MCH""', '""White Blood Cells""', '""Platelet Smear""', '""Specimen Type""', '""Oxygen""', '""Tidal Volume""', '""Ventilator""', '""Temperature""', '""Ventilation Rate""', '""Intubated""', '""PEEP""', '""Required O2""', '""pCO2""', '""Base Excess""', '""pH""', '""pO2""', '""Alveolar-arterial Gradient""', '""Calculated Total CO2""', '""PT""', '""INR(PT)""', '""PTT""', '""Alkaline Phosphatase""', '""Bilirubin, Total""', '""Asparate Aminotransferase (AST)""', '""Alanine Aminotransferase (ALT)""', '""Lactate""', '""Free Calcium""', '""Oxygen Saturation""', '""Vancomycin""', '""Uric Acid""', '""Fibrinogen, Functional""', '""Lactate Dehydrogenase (LD)""', '""Albumin""', '""Red Top Hold""', '""Inpatient Hematology/Oncology Smear""', '""Blue Top Hold""', '""Creatine Kinase (CK)""', '""Protein""', '""Specific Gravity""', '""Urine Appearance""', '""WBC""', '""Urobilinogen""', '""Bilirubin""', '""Leukocytes""', '""Urine Color""', '""Bacteria""', '""Urine Mucous""', '""Epithelial Cells""', '""Blood""', '""RBC""', '""Nitrite""', '""Granular Casts""', '""Ketone""', '""Yeast""', '""Estimated GFR (MDRD equation)""', '""Macrocytes""', '""Polychromasia""', '""Eosinophils""', '""Myelocytes""', '""Bands""', '""Neutrophils""', '""Atypical Lymphocytes""', '""Anisocytosis""', '""Poikilocytosis""', '""Microcytes""', '""Lymphocytes""', '""Basophils""', '""Hypochromia""', '""Monocytes""', '""Metamyelocytes""', '""Haptoglobin""', '""Bilirubin, Direct""', '""Bilirubin, Indirect""', '""Assist/Control""', '""EDTA Hold""', '""Length of Urine Collection""', '""Potassium, Urine""', '""Sodium, Urine""', '""Urea Nitrogen, Urine""', '""Chloride, Urine""', '""Osmolality, Urine""', '""Creatinine, Urine""', '""Sodium, Whole Blood""', '""Chloride, Whole Blood""', '""Potassium, Whole Blood""', '""Triglycerides""', '""Ferritin""', '""Iron""', '""Troponin T""', '""Osmolality, Measured""', '""eAG""', '""% Hemoglobin A1c""', '""Creatine Kinase, MB Isoenzyme""', '""Iron Binding Capacity, Total""', '""Transferrin""', '""Lipase""', '""Hyaline Casts""', '""Calcium Oxalate Crystals""', '""Promyelocytes""', '""Ovalocytes""', '""O2 Flow""', '""Hematocrit, Calculated""']"
Escherichia coli,"['""PTT""', '""Creatine Kinase, MB Isoenzyme""', '""Troponin T""', '""Specimen Type""', '""Calculated Total CO2""', '""pH""', '""pO2""', '""pCO2""', '""Base Excess""', '""Length of Urine Collection""', '""Uhold""', '""Urea Nitrogen, Urine""', '""Creatinine, Urine""', '""Sodium, Urine""', '""Nitrite""', '""Bilirubin""', '""RBC""', '""Specific Gravity""', '""Glucose""', '""Ketone""', '""Leukocytes""', '""Urine Color""', '""Blood""', '""Bacteria""', '""Urobilinogen""', '""Epithelial Cells""', '""Protein""', '""Urine Appearance""', '""Yeast""', '""WBC""', '""Osmolality, Urine""', '""Urea Nitrogen""', '""Creatinine""', '""Magnesium""', '""Bicarbonate""', '""Potassium""', '""Sodium""', '""Calcium, Total""', '""Anion Gap""', '""Phosphate""', '""Chloride""', '""Eosinophils""', '""I""', '""H""', '""L""', '""INR(PT)""', '""PT""', '""Alanine Aminotransferase (ALT)""', '""Lactate Dehydrogenase (LD)""', '""Alkaline Phosphatase""', '""Asparate Aminotransferase (AST)""', '""Bilirubin, Total""', '""Hemoglobin""', '""MCV""', '""Hematocrit""', '""Absolute Eosinophil Count""', '""Immature Granulocytes""', '""Absolute Lymphocyte Count""', '""Lymphocytes""', '""Absolute Monocyte Count""', '""RDW""', '""RDW-SD""', '""Absolute Basophil Count""', '""Monocytes""', '""White Blood Cells""', '""MCH""', '""Basophils""', '""Neutrophils""', '""Platelet Count""', '""Absolute Neutrophil Count""', '""Red Blood Cells""', '""MCHC""', '""Lactate""', '""Vancomycin""']"
Esophageal disorders,"['""Hemoglobin""', '""MCH""', '""RDW""', '""Hematocrit""', '""Red Blood Cells""', '""RDW-SD""', '""MCV""', '""White Blood Cells""', '""MCHC""', '""Platelet Count""', '""PT""', '""INR(PT)""', '""PTT""', '""Sodium""', '""Bicarbonate""', '""Magnesium""', '""Anion Gap""', '""Chloride""', '""Glucose""', '""Phosphate""', '""Potassium""', '""Calcium, Total""', '""Creatinine""', '""Urea Nitrogen""', '""Vancomycin""', '""Estimated GFR (MDRD equation)""', '""Specific Gravity""', '""pH""', '""Urine Color""', '""Protein""', '""Leukocytes""', '""Nitrite""', '""Bilirubin""', '""Urine Appearance""', '""Blood""', '""Urobilinogen""', '""Ketone""', '""Intubated""', '""Specimen Type""', '""Calculated Total CO2""', '""pCO2""', '""pO2""', '""Base Excess""', '""Oxygen Saturation""', '""Oxygen""', '""Alveolar-arterial Gradient""', '""Required O2""', '""Lactate""', '""NTproBNP""', '""Alanine Aminotransferase (ALT)""', '""Lactate Dehydrogenase (LD)""', '""Alkaline Phosphatase""', '""Bilirubin, Total""', '""Asparate Aminotransferase (AST)""', '""Albumin""', '""Monocytes""', '""Absolute Monocyte Count""', '""Hypochromia""', '""Absolute Lymphocyte Count""', '""Anisocytosis""', '""Atypical Lymphocytes""', '""Absolute Basophil Count""', '""Microcytes""', '""Metamyelocytes""', '""Bands""', '""Lymphocytes""', '""Basophils""', '""Platelet Smear""', '""Poikilocytosis""', '""Macrocytes""', '""Myelocytes""', '""Absolute Eosinophil Count""', '""Absolute Neutrophil Count""', '""Neutrophils""', '""Eosinophils""', '""Polychromasia""']"
